francais,genre,type,latin
Adjectifs,N/A,PROPN,Adjectives
tout,N/A,ADV,Cunctis
grand,Masc,ADJ,magnatus
petit,Masc,ADJ,paululus
autre,N/A,ADJ,alius
seul,Masc,ADJ,sola
jeune,N/A,ADJ,iuvencus
premier,Masc,ADJ,prior
bon,Masc,ADJ,Bonum
quel,Masc,ADJ,quid
beau,Masc,NOUN,pulcher
vieux,Masc,ADJ,senex
noir,Masc,ADJ,niger
nouveau,Masc,ADJ,novus
dernier,Masc,ADJ,ultimo
blanc,Masc,ADJ,alba
cher,Masc,ADJ,Carus
long,Masc,ADJ,longo
pauvre,N/A,VERB,pauper
plein,Masc,ADJ,plenus
vrai,Masc,ADJ,Verus
toute,Fem,DET,cunctis
bas,Masc,ADJ,in
gros,Masc,ADJ,pinguis
doux,Masc,NOUN,mollis
heureux,Masc,ADJ,laetus
haut,Masc,ADJ,altum
profond,Masc,ADJ,altum
rouge,Masc,ADJ,ruber
humain,Masc,ADJ,humanum
froid,Masc,ADJ,frigidus
sombre,Masc,NOUN,tenebrosus
ancien,Masc,ADJ,antiqua
propre,N/A,ADJ,proprio
politique,N/A,ADJ,Policy
possible,N/A,ADJ,potest
immense,Fem,NOUN,immensus
public,Masc,ADJ,auditorium
pareil,Masc,ADJ,Idem
bleu,Masc,ADJ,blue
fort,N/A,ADV,fortis
entier,Masc,ADJ,integer
simple,N/A,ADJ,simplex
mauvais,Masc,ADJ,malus
social,N/A,PROPN,socialis
important,Masc,ADJ,maximus
certain,Masc,ADJ,certum
triste,N/A,ADJ,tristis
joli,Masc,NOUN,pulchellus
Adverbes,Masc,PROPN,Adverbia
ne,N/A,ADV,natus
pas,N/A,ADV,non
plus,N/A,ADV,more
bien,N/A,ADV,Bonum
si,N/A,SCONJ,si
tout,N/A,ADV,Cunctis
encore,N/A,ADV,Iterum
aussi,N/A,ADV,Etiam
peu,N/A,ADV,paululus
alors,N/A,ADV,Sic
toujours,N/A,ADV,semper
jamais,N/A,ADV,Numquam
non,N/A,ADV,Non
ainsi,N/A,ADV,Sic
moins,N/A,ADV,mox
ici,N/A,ADV,hinc
oui,Masc,NOUN,Sic
trop,N/A,ADV,nimium
tant,N/A,ADV,tanto
enfin,N/A,ADV,Tandem
maintenant,N/A,ADV,Nunc
beaucoup,N/A,ADV,multus
assez,N/A,ADV,satis
loin,N/A,ADV,longe
point,Masc,NOUN,punctus
presque,N/A,ADV,paene
ailleurs,N/A,ADV,alibi
seulement,N/A,ADV,tantum
aujourd'hui,N/A,ADV,Hodie
mieux,N/A,ADV,melior
autour,N/A,ADV,circum
souvent,N/A,ADV,saepe
dessus,Masc,NOUN,supra
longtemps,N/A,ADV,Longum
fort,N/A,ADV,fortis
comme,N/A,ADP,sicut
comment,N/A,ADV,quam
autant,N/A,ADV,quanto
d',N/A,ADP,D
surtout,N/A,ADV,Super omnes
cependant,N/A,ADV,Tamen
vite,N/A,ADV,cito
tard,N/A,ADV,nuper
pourtant,N/A,ADV,Tamen
ci,Masc,NOUN,hinc
mal,Masc,NOUN,nefas
parfois,N/A,ADV,Interdum
vraiment,N/A,ADV,Vere
partout,N/A,ADV,ubique
debout,Masc,NOUN,stans
lentement,N/A,ADV,tardius
combien,N/A,ADV,Quanto
hier,N/A,ADV,hesterno
Conjonctions,Fem,NOUN,Conjunctiones
et,N/A,CCONJ,Et
que,N/A,SCONJ,qui
comme,N/A,ADP,sicut
mais,N/A,CCONJ,sed
ou,N/A,CCONJ,Vel
quand,N/A,SCONJ,Cum
si,N/A,SCONJ,si
puis,N/A,CCONJ,Tum
donc,N/A,ADV,Sic
car,N/A,CCONJ,quia
ni,N/A,CCONJ,nec
parce,N/A,SCONJ,quia
pourquoi,N/A,ADV,Quare
lorsque,N/A,SCONJ,cum
tandis,N/A,ADV,dum
puisque,N/A,SCONJ,cum
comment,N/A,ADV,quam
soit,N/A,CCONJ,vel
or,N/A,CCONJ,aureo
le,Masc,DET,In
un,Masc,DET,A
